License First Date,Facility Status,Facility Telephone Number,Facility Number,Facility State,Regional Office,Inspection Visits,Other TypeA,Citation Numbers,POC Dates,Other TypeB,,"Complaint Information - Date, #Sub Alleg, # Inc Alleg, # TypeA, # TypeB .....",Other Visits,longitude,Facility Type,Inspection Visit Dates,Facility Zip,County Name,Facility Address,All Visit Dates,Complaint Visits,Licensee,Facility Name,Facility Administrator,Facility City,latitude,Inspect TypeB,Facility Capacity,Inspect TypeA,Total Visits,Last Visit Date,Other Visit Dates,Closed Date
10/30/1996,LICENSED,(510) 758-0433,075600130,CA,15,3,2,"82065(a), 82072(a)(1), 82072, 82087(a)(3), 82019(a), 80078(a), 82088(e)(1), 82065 (f), 82087(a), 80061(a), 82088(e)(3), 82087(a), 82070(a), 82087(a), 80023 (D), 82065.1(d)(1), 82065(g)(1), 82087(a), 82069(a), 82068.2(d)(1), 82069(b)(1), 82065(f), 82064(c), 82078, 82087(a), 82070(f), 82087(a), 82087(a)","04/23/2015, 04/23/2015, 04/23/2015, 10/30/2014, 10/31/2014, 04/29/2014, 12/12/2012, 12/22/2015, 04/24/2015, 08/30/2013, 07/26/2011, 07/26/2011, 04/15/2016, 04/08/2016, 04/15/2016, 11/14/2013, 11/14/2013, 11/14/2013, 11/14/2013, 12/30/2014, 12/30/2014, 01/03/2013, 01/03/2013, 01/01/2013, 01/01/2013, 01/01/2013, 01/11/2013, 07/22/2011",9,"['1', '0', '0', '1', '07/29/2015', '0', '2', '0', '0', '05/31/2015', '5', '1', '3', '1', '03/24/2015', '0', '3', '0', '0', '10/02/2014', '0', '1', '0', '0', '09/18/2013', '1', '0', '0', '1', '11/04/2011', '0', '1', '0', '0', '07/28/2011', '1', '0', '0', '2']",12/30/2015,14,-122.333385,ADULT DAY PROGRAM,"04/11/2016, 10/30/2014, 10/31/2013",94806,CONTRA COSTA,4075 LAKESIDE DRIVE,"04/13/2016, 04/11/2016, 03/28/2016, 12/22/2015, 12/11/2015, 12/11/2015, 10/15/2015, 09/29/2015, 07/14/2015, 04/23/2015, 04/23/2015, 02/25/2015, 12/09/2014, 10/30/2014, 10/22/2014, 08/12/2014, 04/28/2014, 10/31/2013, 09/12/2013, 08/23/2013, 12/13/2012, 12/11/2012, 03/28/2012, 01/26/2012, 10/28/2011, 07/25/2011, 06/23/2011",10,CALIFORNIA AUTISM FOUNDATION;DBA A BETTER CHANCE,A BETTER CHANCE DAY PROGRAM,ADRIA CARSON,RICHMOND,37.987982,7,75,2,27,4/15/2016,"04/13/2016, 03/28/2016, 12/22/2015, 10/15/2015, 09/29/2015, 12/09/2014, 10/22/2014, 04/28/2014, 09/12/2013, 12/13/2012, 12/11/2012, 03/28/2012, 01/26/2012, 06/23/2011",
,CLOSED,(619) 741-1548,374603282,CA,08,0,0,,,0,,No Complaints,0,-116.973521,ADULT DAY PROGRAM,,91977,SAN DIEGO,3322 SWEETWATER SPRINGS #106,,0,"A BETTER LIFE TOGETHER, INC.",A BETTER LIFE TOGETHER-SPRING VALLEY,KIMBERLY WILSON-MILLS,SPRING VALLEY,32.738759,0,15,0,0,,,6/15/2012
,CLOSED,(619) 741-1548,374603385,CA,08,0,0,,,0,,No Complaints,0,-116.973521,ADULT DAY PROGRAM,,91977,SAN DIEGO,3322 SWEETWATER SPRINGS BVD106,,0,"A BETTER LIFE TOGETHER, INC.",A BETTER LIFE TOGETHER - SPRING VALLEY,KIMBERLY WILSON-MILLS,SPRING VALLEY,32.738759,0,15,0,0,,,4/22/2013
5/19/2016,LICENSED,(510) 692-1804,286803618,CA,21,0,0,,,0,,No Complaints,3,-121.839568,ADULT DAY PROGRAM,,94503,NAPA,3419 BROADWAY STREET H 4-5-6,"02/24/2016, 12/29/2015, 12/08/2015",0,"A BRIGHT FUTURE, INC.",A BRIGHT FUTURE ACADEMY,"KONAN, MAXIME",AMERICAN CANYON,39.728652,0,45,0,3,2/24/2016,"02/24/2016, 12/29/2015, 12/08/2015",
5/29/2014,LICENSED,(209) 956-3400,397005472,CA,27,0,0,,,0,,No Complaints,1,-121.360124,ADULT DAY PROGRAM,,95209,SAN JOAQUIN,3550 WAGNER HEIGHTS ROAD,05/05/2014,0,O'CONNOR WOODS HOUSEING CORPORATION,A DAY AWAY,PENNY LEAL-MALLETTE,STOCKTON,38.032072,0,15,0,1,5/5/2014,05/05/2014,
5/18/2006,LICENSED,(916) 393-9682,347003578,CA,27,2,0,"80078(a) , 80054(c)(1) , 82074(c)","02/18/2016, 02/18/2016, 06/18/2013",0,"['0', '1', '0', '0', '03/01/2016', '1', '0', '2', '0', '01/02/2015', '0', '1', '0', '0', '07/22/2013', '1', '0', '0', '1', '12/28/2011', '0', '1', '0', '0']",04/21/2016,12,-121.519137,ADULT DAY PROGRAM,"03/23/2016, 04/22/2014",95831,SACRAMENTO,7395 GREENHAVEN DRIVE,"04/06/2016, 03/24/2016, 03/23/2016, 02/17/2016, 02/17/2016, 10/30/2015, 07/21/2015, 07/13/2015, 10/24/2014, 04/24/2014, 04/22/2014, 11/14/2013, 06/18/2013, 01/29/2013, 10/26/2012, 01/12/2012, 11/28/2011, 10/19/2011, 06/22/2011, 06/20/2011",6,"MITCHELL, CAROLYN",A FAMILY AFFAIR BRIDGES,"MITCHELL, CAROLYN",SACRAMENTO,38.491589,0,100,0,20,4/6/2016,"03/24/2016, 10/30/2015, 07/21/2015, 07/13/2015, 04/24/2014, 11/14/2013, 01/29/2013, 10/26/2012, 01/12/2012, 10/19/2011, 06/22/2011, 06/20/2011",
10/23/2008,LICENSED,(916) 919-4590,347004236,CA,27,2,0,"82078 , 82072(a)(2), 82061(a)(1)(D), 82088 (h) ","11/13/2014, 11/17/2014, 11/17/2014, 01/09/2012",0,"['2', '0', '1', '2']",12/10/2014,5,-118.203623,ADULT DAY PROGRAM,"07/12/2013, 12/08/2011",95817,SACRAMENTO,3525 BROADWAY,"04/15/2016, 07/23/2015, 11/07/2014, 09/05/2013, 07/12/2013, 04/17/2013, 06/18/2012, 12/08/2011",1,"MITCHELL, CAROLYN R.",A FAMILY AFFAIR CONNECTION,"MITCHELL, CAROLYN",SACRAMENTO,33.964668,1,30,0,8,4/15/2016,"04/15/2016, 07/23/2015, 09/05/2013, 04/17/2013, 06/18/2012",
10/23/2008,LICENSED,(916) 456-2451,347004235,CA,27,3,0,"80074(g)(1)(H), 80087(a), 80020(a), 82075(f), 80087(a), 82088 (h) ","09/21/2015, 09/25/2015, 09/18/2015, 07/26/2013, 02/05/2016, 01/09/2012",2,,No Complaints,5,-121.467595,ADULT DAY PROGRAM,"12/10/2015, 09/18/2015, 07/12/2013",95817,SACRAMENTO,3521 BROADWAY,"02/02/2016, 02/02/2016, 12/10/2015, 09/18/2015, 07/12/2013, 12/08/2011, 11/29/2011, 06/10/2011",0,"MITCHELL, CAROLYN R.",A FAMILY AFFAIR CONNECTION,"MITCHELL, CAROLYN",SACRAMENTO,38.551064,4,30,0,8,2/2/2016,"02/02/2016, 02/02/2016, 12/08/2011, 11/29/2011, 06/10/2011",
,PENDING,(916) 919-4590,237005678,CA,27,0,0,,,0,,No Complaints,1,-121.308397,ADULT DAY PROGRAM,,95827,MENDOCINO,10395 OLD PLACERVILLE RD 200,05/20/2016,0,A FAMILY AFFAIR CONNECTION INC,A FAMILY AFFAIR CONNECTION INC,"MITCHELL, KASSIA",SACRAMENTO,38.569383,0,30,0,1,5/20/2016,05/20/2016,
3/16/2009,LICENSED,(530) 622-3172,097004240,CA,27,3,0,"82023(d), 82068(c), 82088(e)(1), 82069(a) ","07/10/2014, 07/17/2014, 07/17/2014, 07/17/2014",0,,No Complaints,3,-120.829892,ADULT DAY PROGRAM,"04/12/2016, 04/08/2016, 07/03/2014",95667,EL DORADO,4282 GOLDEN CENTER ROAD,"04/12/2016, 04/08/2016, 07/16/2015, 06/04/2015, 07/03/2014, 01/05/2012",0,"A FAMILY AFFAIR CONNECTION, INC",A FAMILY AFFAIR CONNECTIONS-PLACERVILLE,"MITCHELL, CAROLYN",PLACERVILLE,38.706759,4,45,0,6,4/12/2016,"07/16/2015, 06/04/2015, 01/05/2012",
